country,continent,total_deaths_per_million,median_age,life_expectancy,gdp_per_capita,hospital_beds_per_thousand,health_expenditure_per_capita,health_expenditure_pct_gdp,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,population_density,diabetes_prevalence,total_cases_per_million,stringency_index
Ethiopia,Africa,60.406296,18.527999877929688,66.89710235595703,2892.22216796875,0.3300000131130218,26.06931114,3.20779967,34.815372,4.7677984,108.230378298522,4.400000095367432,3998.4197,45.03737226277372
Falkland Islands,South America,0.0,40.935001373291016,79.0447998046875,,,,,50.497868,,,,547083.94,
Faroe Islands,Europe,518.1443,37.53799819946289,79.26370239257812,72059.578125,,,,75.67683,39.386368,38.8985401459854,5.300000190734863,641351.6,27.565136861313867
Fiji,Oceania,962.555,27.475000381469727,67.14810180664062,13592.4638671875,1.8899999856948853,331.58413696,7.06084681,69.73836,18.712286,50.1757525998905,16.600000381469727,75097.78,54.02374087591241
Finland,Europe,2058.7866,42.5260009765625,81.24349975585938,56123.1484375,2.609999895095825,5261.90966797,9.90969753,78.054924,80.00501,18.2301659134121,6.900000095367432,272657.97,32.519306569343065
France,Europe,2616.8914,41.56700134277344,82.47530364990234,54799.34765625,5.650000095367432,5364.89746094,12.24894238,80.257324,71.978584,125.879601076167,6.5,607685.44,42.27250912408759
French Guiana,South America,1384.4241,25.23500061035156,76.79419708251953,,,,,,,,,328644.84,
French Polynesia,Oceania,2318.216,34.15999984741211,83.8593978881836,,,,,66.62304,40.029175,80.6084701815039,22.799999237060547,283360.9,
Gabon,Africa,126.29847,21.475000381469727,67.71299743652344,18923.662109375,1.950000047683716,228.46922302,2.79254127,10.592245,0.10663375,9.22389878526798,8.5,20186.773,47.46268248175183
Gambia,Africa,141.09766,17.985000610351562,64.85900115966797,3057.68408203125,1.1100000143051147,29.77283478,3.74321485,20.451042,2.038368,254.546442687747,5.5,4789.355,32.8836496350365
Georgia,Asia,4519.6274,36.63399887084961,74.14089965820312,24883.908203125,4.039999961853027,524.32415771,10.53835487,33.62968,2.129714,64.8834808775675,6.699999809265137,491289.62,43.51702554744526
Germany,Europe,2080.9473,45.02399826049805,80.57959747314453,62554.5546875,7.550000190734863,6653.58349609,12.72403336,75.596375,77.053566,238.118085806692,7.800000190734863,457125.44,44.04211678832117
Ghana,Africa,44.133858,20.73600006103516,65.24600219726562,7055.625,0.6899999976158142,94.40388489,3.86030865,32.519695,14.498159,142.918455784436,2.700000047683716,5214.1,42.581414233576645
Gibraltar,Europe,3002.8435,38.948001861572266,83.5167007446289,,,,,110.18841,130.66354,3685.8,,546092.3,
Greece,Europe,3865.8413,45.39099884033203,79.94409942626953,37474.28125,4.269999980926514,1846.37304688,9.03178692,73.44144,71.66346,82.0025601241272,8.0,563396.94,52.54457116788321
Greenland,North America,374.90628,33.92399978637695,70.0519027709961,71037.5390625,,,,68.75246,,0.138026556218784,4.300000190734863,213714.42,30.740702554744523
Grenada,North America,2035.4407,32.88600158691406,75.15080261230469,17751.509765625,3.009999990463257,508.09500122,5.27963448,33.38294,6.3380885,343.2,11.300000190734863,168419.88,
Guadeloupe,North America,2654.0022,45.86299896240234,80.90540313720703,,,,,,,,,528292.0,
Guam,Oceania,2536.427,30.979999542236328,77.10150146484375,,,,,,,303.203703703704,20.299999237060547,316520.7,43.72554744525547
Guatemala,North America,1132.0674,22.24399948120117,71.2063980102539,12640.8876953125,0.449999988079071,361.51858521,7.35698891,39.953743,24.104692,164.227790220231,13.199999809265137,70342.766,53.45754562043796
Guernsey,Europe,1050.9803,43.880001068115234,83.10800170898438,,,,,82.68235,108.76706,,,554133.3,
Guinea,Africa,33.297436,17.836000442504883,60.43159866333008,4016.341796875,0.3000000119209289,44.10476303,3.7175858,41.650185,3.026495,55.7973018069347,4.599999904632568,2745.9001,52.760620437956206
Guinea-Bissau,Africa,84.06415,18.732999801635746,63.60449981689453,2744.27978515625,,70.21189117,8.39794922,26.0094,3.6265843,73.2162517780939,4.800000190734863,4566.0605,
Guyana,South America,1596.8103,25.304000854492188,69.88849639892578,70516.71875,3.240000009536743,457.86633301,4.64326477,46.797615,10.08522,3.86228095102775,16.399999618530273,91913.96,52.199142335766425
Haiti,North America,74.759186,23.25,63.94829940795898,2809.645263671875,4.900000095367432,59.89406204,3.57739854,3.1845589,,412.720827285922,8.5,3033.919,44.14991788321168
Honduras,North America,1062.1299,23.20599937438965,72.71510314941406,6585.85546875,0.5299999713897705,253.63349915,9.27311516,55.94186,46.562984,91.9642237912235,5.0,45207.133,62.847700729927006
Hong Kong,Asia,,45.59099960327149,83.48529815673828,66153.9765625,,,,91.124664,97.63102,7060.09523809524,8.199999809265137,,58.07604927007299
Hungary,Europe,5072.536,42.99300003051758,76.21179962158203,40686.93359375,6.630000114440918,1392.97460938,7.33524847,64.090385,44.420666,105.532895025203,8.300000190734863,231392.38,36.542892335766425
Iceland,Europe,489.00012,35.74700164794922,81.58769989013672,67310.0546875,2.8299999237060547,6722.421875,9.72073746,78.32783,75.62466,3.69453535654071,6.900000095367432,555491.0,30.61391423357664
India,Asia,374.51965,27.68400001525879,71.69840240478516,9818.04296875,1.590000033378601,75.54971313,3.34680939,66.78652,15.955859,475.652042419085,10.5,31609.014,57.86519160583941
Indonesia,Asia,581.20966,29.56100082397461,70.92459869384766,14470.4375,1.3700000047683716,158.89761353,3.70634937,62.749634,24.87398,146.235107708626,11.300000190734863,24496.148,54.45875
Iran,Asia,1640.1925,32.340999603271484,76.79930114746094,17484.1328125,1.850000023841858,196.66934204,4.85886621,65.44067,35.021,54.518020338983,9.0,85204.44,59.33673357664233
Iraq,Asia,575.78125,20.093000411987305,72.03710174560547,12725.04296875,1.059999942779541,251.59538269,5.14179993,18.0274,0.62463474,99.2127035680556,13.399999618530272,55945.402,58.38047445255474
Ireland,Europe,1913.693,37.99700164794922,82.05049896240234,119037.734375,2.9600000381469727,6754.07519531,6.44113493,79.5611,62.85232,74.1847147626651,3.5999999046325684,343286.28,42.54294708029197
Isle of Man,Europe,1378.5236,45.47600173950195,80.95610046386719,,,,,79.74759,63.374054,147.554385964912,7.5,451680.38,
Israel,Asia,1395.8915,29.086000442504883,82.81449890136719,47338.84375,3.140000104904175,4294.18847656,7.83961058,70.14864,63.3441,433.059149722736,10.100000381469728,531871.56,43.283403284671536
Italy,Europe,3329.8555,47.11600112915039,82.052001953125,53265.00390625,3.059999942779541,3414.57299805,9.28164482,83.00122,80.117546,199.965416259464,7.699999809265137,452370.3,52.284242700729926
Jamaica,North America,1279.9606,31.152999877929688,71.48090362548828,11340.263671875,1.649999976158142,413.36227417,8.00261688,26.796753,1.6224927,262.020498614958,12.5,55533.523,53.979808394160585
Japan,Asia,597.56354,48.54800033569336,84.0541000366211,46106.921875,12.59000015258789,4843.94433594,12.08108234,82.76578,140.53253,344.80546776406,8.100000381469727,270433.8,40.35818430656934
Jersey,Europe,1555.6608,42.867000579833984,79.72570037841797,,,,,79.11839,71.17583,,,641502.3,
Jordan,Asia,1254.5897,23.94300079345703,77.08799743652344,9520.2509765625,1.409999966621399,322.01589966,7.69733906,40.495773,6.0607204,124.629547041467,20.5,155202.14,41.26021897810219
Kazakhstan,Asia,951.9526,29.347999572753903,73.50279998779297,35973.96484375,6.539999961853027,391.81536865,3.98701859,53.0535,12.548638,7.31325813979331,6.800000190734863,75088.555,51.24129562043795
Kenya,Africa,104.86161,19.27199935913086,63.54909896850586,5845.201171875,1.3300000429153442,94.20249176,4.56992722,20.442282,3.6876411,91.6187594501618,3.0999999046325684,6343.7124,51.54954379562045
Kiribati,Oceania,183.932,22.52899932861328,66.2686996459961,3257.13623046875,1.8600000143051147,263.09573364,11.83228588,62.44032,28.820612,158.49012345679,24.600000381469727,38970.594,25.193649635036493
Kosovo,Europe,1869.6703,30.808000564575195,77.62329864501953,15716.29296875,,,,48.027126,6.1413894,,10.399999618530272,159654.83,48.40020072992701
Kuwait,Asia,559.97217,33.4630012512207,78.78810119628906,46137.46875,2.3299999237060547,1829.13134766,5.37273169,72.90916,31.7582,244.717452300786,25.600000381469727,145394.48,48.542326642335766
Kyrgyzstan,Asia,147.21544,24.975000381469727,71.48699951171875,7048.98974609375,3.7300000190734863,72.58779144,5.35275602,20.2136,,35.7206673618352,7.599999904632568,12788.335,46.01752737226278
Laos,Asia,88.768265,23.972000122070312,68.71520233154297,8600.32421875,1.7100000381469729,68.61697388,2.74392009,69.08865,,32.2928682842288,6.699999809265137,28979.992,46.14121350364963
Latvia,Europe,4114.7036,42.94599914550781,74.87059783935547,37611.671875,4.949999809265137,1897.95275879,9.4105072,69.4277,29.286747,30.2826610959344,7.099999904632568,519815.16,35.48866788321168
Lebanon,Asia,1905.6515,28.106000900268555,78.00289916992188,11330.2685546875,2.7300000190734863,189.8581543,4.40006208,42.026745,11.493601,558.956207233627,12.300000190734863,215842.23,51.863138686131386
Lesotho,Africa,310.13354,21.263999938964844,56.8119010925293,2640.285400390625,,115.81448364,10.66165733,41.03421,7.7780967,74.4908432147563,6.199999809265137,15808.499,43.89566605839416
Liberia,Africa,54.71501,18.18000030517578,61.934200286865234,1646.05859375,1.590000033378601,88.54867554,13.27175999,69.43534,0.036979157,54.60260589701,9.199999809265137,1505.5933,45.33067518248175
Libya,Africa,891.0818,26.91699981689453,74.46150207519531,12583.833984375,3.5,298.84338379,6.05457449,17.111511,2.5849123,4.05513656978528,15.800000190734863,70221.87,56.77587591240876
Liechtenstein,Europe,2262.4434,44.01399993896485,83.40540313720703,,,10912.36132813,5.38460207,,56.14673,244.8875,7.199999809265137,550333.0,35.42360401459854
Lithuania,Europe,3525.478,42.632999420166016,74.69599914550781,47165.3671875,5.710000038146973,1844.33154297,7.73210812,66.77875,33.67579,44.8551349624661,7.5,514422.3,36.01941605839416
Luxembourg,Europe,1530.6552,38.67599868774414,82.20069885253906,128475.28125,3.950000047683716,7632.57275391,5.60806084,5.796285,70.27529,248.62068161867,5.800000190734863,614792.25,37.25629562043796
Macao,Asia,,37.83100128173828,82.10250091552734,111693.5,,,,91.18433,68.291214,20681.8181818182,8.100000381469727,,33.347536496350365
Madagascar,Africa,46.91618,18.718000411987305,63.06769943237305,1657.0496826171875,0.3199999928474426,17.17938805,3.55335546,8.636944,0.55585486,51.0331436919904,4.599999904632568,2262.1287,37.57185218978102
Malawi,Africa,130.58656,17.334999084472656,66.03700256347656,1634.24658203125,1.2999999523162842,46.41017532,7.5164628,20.847246,5.993705,212.635320322444,5.699999809265137,4335.124,38.98188868613139
Malaysia,Asia,1076.5375,29.57299995422364,75.44419860839844,34116.23046875,1.9600000381469729,476.94366455,4.37438345,79.40842,49.533237,104.344541165728,21.100000381469727,153617.53,49.19622262773722
Maldives,Asia,602.92,30.339000701904297,80.7594985961914,23034.41015625,4.559999942779541,901.09185791,8.85169506,73.488884,31.918316,1720.51333333333,9.5,356207.4,
Mali,Africa,32.20264,15.348999977111816,60.034698486328125,2916.185302734375,0.25,30.55883217,3.54318666,15.748474,0.0,18.348478515641,4.800000190734863,1440.494,37.48359489051094
Malta,Europe,2135.5789,39.74599838256836,82.24960327148438,62700.49609375,4.090000152587891,3641.03833008,9.52782059,89.27875,93.27179,1619.21875,10.0,237249.95,39.901021897810224
Marshall Islands,Oceania,424.0036,20.96500015258789,66.72450256347656,7209.2666015625,,782.16351318,12.49257088,,,229.816666666667,25.700000762939453,406469.78,
Martinique,North America,3159.1418,48.23899841308594,80.8364028930664,,,,,,,,,659167.5,
Mauritania,Africa,204.48581,16.992000579833984,68.28070068359375,6482.68994140625,,73.6309433,3.78022528,31.597816,7.8745904,4.59384301930727,5.199999809265137,13104.115,36.26499087591241
Mauritius,Africa,841.60443,36.51300048828125,73.54450225830078,28011.158203125,3.799999952316284,593.77947998,6.6160841,85.26863,51.288265,634.118177265899,20.100000381469727,260395.86,34.30613138686131
Mayotte,Africa,612.55444,16.697999954223633,75.1272964477539,,,,,,,,,137667.52,
Mexico,North America,2605.5352,28.527999877929688,73.97309875488281,22039.62890625,1.0099999904632568,606.13415527,5.87678003,63.640446,44.32989,65.664316469045,16.399999618530273,59325.41,43.99120437956204
Micronesia (country),Oceania,579.72565,22.607999801635746,66.96060180664062,3824.15234375,,399.43988037,11.37430477,,,159.462857142857,19.200000762939453,283307.47,
Moldova,Europe,4042.7817,37.47800064086914,71.54650115966797,16376.611328125,5.539999961853027,403.87823486,7.7490406,35.492302,13.356049,90.3612977338393,6.300000190734863,215941.78,41.16257299270073
Monaco,Europe,1720.154,54.97499847412109,85.74639892578125,,21.989999771118164,8225.38769531,3.67494631,65.8973,45.56354,18487.0441458733,6.900000095367432,441103.97,36.80067518248176
Mongolia,Asia,630.83,26.617000579833984,71.50489807128906,16842.650390625,8.579999923706055,330.03753662,7.21042728,64.53846,31.270948,2.17253662423347,10.300000190734863,298725.5,42.96206204379562
Montenegro,Europe,4317.9116,39.08000183105469,75.92140197753906,28105.708984375,3.819999933242798,1024.2565918,10.55253506,46.346615,16.51658,46.4723420074349,10.699999809265137,408818.7,
Montserrat,North America,1787.31,41.3849983215332,76.0376968383789,,,,,43.610367,12.578195,,,313449.5,
Morocco,Africa,436.791,28.875,75.1613998413086,9162.7470703125,0.7300000190734863,209.57344055,5.45314503,63.012527,18.553833,82.8017969975353,11.899999618530272,34265.92,53.79559306569343
Mozambique,Africa,68.960785,16.249000549316406,63.01150131225586,1500.3143310546875,0.7400000095367432,44.09894943,8.64841366,65.31598,7.1152153,40.3212187492052,3.0,7163.5615,43.838777372262776
Myanmar,Asia,362.63324,29.2509994506836,66.50579833984375,5276.29443359375,1.0700000524520874,96.86240387,5.53530645,66.85257,29.740208,81.7980020531049,6.699999809265137,11968.739,63.73446167883212
Namibia,Africa,1422.3087,20.825000762939453,64.19029998779297,10281.3359375,,449.95172119,10.19644737,19.067173,10.331983,3.41380072635402,5.300000190734863,59715.164,35.317226277372264
Nauru,Oceania,84.58806,20.57299995422364,61.93040084838867,12468.76171875,,1636.45788574,10.85399055,95.97361,65.175095,585.45,21.799999237060547,456183.38,
Nepal,Asia,404.97473,24.356000900268555,70.08689880371094,5046.81591796875,0.5400000214576721,69.1880188,5.53498316,82.35129,34.57257,205.61569584932,7.699999809265137,33786.08,51.18641423357664
Netherlands,Europe,1283.817,41.4630012512207,81.91210174560547,70498.8828125,2.4200000762939453,6718.88964844,11.13498974,65.73038,52.594612,520.731927531928,5.0,483538.9,42.89692518248175
New Caledonia,Oceania,1093.5813,33.5890007019043,77.69830322265625,,,,,64.36666,36.05022,15.6025164113786,22.0,279326.44,
New Zealand,Oceania,884.302,37.06800079345703,81.006103515625,49316.3984375,2.509999990463257,4749.04199219,9.55072403,83.63098,96.050804,19.3103186358285,6.699999809265137,519948.53,34.68584854014599
Nicaragua,North America,36.40058,24.91200065612793,74.46260070800781,7661.60205078125,0.9700000286102296,204.21273804,9.54984856,91.026825,42.97543,55.2163952135616,10.399999618530272,2497.2283,11.33389598540146
Niger,Africa,12.444701,15.10200023651123,60.39810180664063,1803.4368896484373,0.2800000011920929,35.39406204,5.81452751,21.661686,0.0,19.3432857030078,4.099999904632568,378.91153,21.35059306569343
Nigeria,Africa,14.138414,17.566999435424805,54.07899856567383,7994.2158203125,,81.87322235,4.07625723,36.431763,7.540509,239.939047179859,3.0,1197.5618,40.78118613138686
Niue,Oceania,0.0,36.72100067138672,69.81819915771484,,,,,88.66595,66.43167,,,592190.9,
North Korea,Asia,0.0,35.80500030517578,73.64109802246094,,12.800000190734863,,,,,217.860094676522,9.899999618530272,0.0,
